from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
weight,hdl,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Body weight (anthropometric covariate).) AND (HDL ('good') cholesterol (lipid panel).)
hematocrit,hemoglobin,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Oxygen-carrying protein in red blood cells (CBC).)
hematocrit,rbc,1.0,1.0,True,supported,0.85,supports_proposed_direction,"The literature strongly supports a relationship between hematocrit and RBC count, as hematocrit is definitionally the percent of blood volume made up of red blood cells. Multiple abstracts (PMID 30866659, 11724980) discuss these measures together in blood analyses. The proposed direction (hematocrit -> RBC) is supported by the mathematical/definitional relationship: hematocrit is a derived measure calculated from RBC count and cell volume, making hematocrit conceptually dependent on RBC parameters rather than the reverse.","30866659, 11724980",none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Red blood cell count (CBC).)
mpv,platelets,1.0,0.92,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Mean platelet volume -- average size of platelets (CBC).) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
rdw,rbc,1.0,1.0,True,supported,0.6,supports_reverse_direction,"The literature consistently documents associations between RDW and various clinical outcomes, with RDW correlating negatively with RBC, hemoglobin, and hematocrit (PMID 41546586: r=-0.525 for RBC-RDW correlation). This negative correlation suggests RBC influences RDW rather than the reverse: lower RBC counts are associated with higher RDW values, indicating that alterations in red blood cell production/count affect the distribution width. No evidence from INDRA or the abstracts supports RDW causally influencing RBC count; the physiological relationship implies RBC count and quality determine RDW as a derived measure of cell size variability.",41546586,none,0.0,0.0,0.0,,,,(Red cell distribution width -- variability in red blood cell size (CBC).) AND (Red blood cell count (CBC).)
albumin,calcium,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
albumin,protein,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Total serum protein.)"
alt,weight,1.0,0.66,True,supported,0.35,supports_reverse_direction,"The PubMed abstract (PMID 17698903) shows a clear inverse correlation between body weight (BMI, body mass index) and ALT levels, where ALT emerged as an independent negative covariate in regression analyses. The study demonstrates that metabolic parameters including body mass index are associated with ALT levels, suggesting body weight influences ALT rather than the reverse. However, INDRA provides no directional statements in either direction, and the single PubMed abstract, while relevant, provides limited evidence for establishing firm causality.",17698903,none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Body weight (anthropometric covariate).)"
alt,ast,1.0,0.98,True,inconclusive,0.3,no_directional_evidence,"All PubMed abstracts describe ALT and AST as co-occurring biomarkers that are measured together to assess liver injury, consistently showing correlated elevations in response to hepatotoxic stimuli. However, neither the abstracts nor the INDRA database provide any evidence for a causal or directional relationship where ALT influences AST or vice versa. They appear to be parallel indicators of the same underlying pathological processes rather than causally related entities.","42223275, 42373439, 42242754, 42157520, 42495747",none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Aspartate aminotransferase -- liver enzyme, liver injury marker.)"
bun,albumin,1.0,0.75,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Blood urea nitrogen -- kidney function marker.) AND (Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).)"
chloride,co2,1.0,0.58,True,inconclusive,0.3,no_directional_evidence,"The PubMed abstract (PMID 23528507) describes correlational laboratory findings in HPS patients, examining serum chloride, potassium, and CO2 levels together as biomarkers, but does not establish any causal or directional mechanism between chloride and CO2. INDRA found zero forward, reverse, or undirected statements linking these entities, providing no mechanistic support for either direction. The evidence is insufficient to establish either the existence or direction of a causal relationship.",23528507,none,0.0,0.0,0.0,,,,(Serum chloride (electrolyte).) AND (Serum bicarbonate/CO2 -- acid-base status.)
