from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
cm_cd4_t_cell_ifn_alpha,cm_cd4_t_cell_ifn_gamma,1.0,0.5295,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within central memory CD4 T cell (peripheral blood).)
cd56bright_nk_cell_ifn_alpha,cd56bright_nk_cell_ifn_gamma,1.0,0.523,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD56bright NK cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD56bright NK cell (peripheral blood).)
core_naive_b_cell_ifn_gamma,core_naive_b_cell_ifn_alpha,1.0,0.53,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within naive B cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within naive B cell (peripheral blood).)
core_cd14_monocyte_ifn_alpha,core_cd14_monocyte_ifn_gamma,1.0,0.5025,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD14 monocyte (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD14 monocyte (peripheral blood).)
core_cd14_monocyte_tnfa_nfkb,isg_cd14_monocyte_tnfa_nfkb,1.0,0.5285,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for TNF-alpha/NF-kB signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for TNF-alpha/NF-kB signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
gzmk_cd56dim_nk_cell_ifn_gamma,gzmk_cd56dim_nk_cell_ifn_alpha,1.0,0.52,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within Granzyme K+ CD56dim NK cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within Granzyme K+ CD56dim NK cell (peripheral blood).)
naive_cd4_treg_ifn_alpha,naive_cd4_treg_ifn_gamma,1.0,0.522,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within naive CD4 regulatory T cell (Treg) (peripheral blood).) AND (Pathway activity score for interferon gamma response within naive CD4 regulatory T cell (Treg) (peripheral blood).)
isg_cd14_monocyte_ifn_gamma,isg_cd14_monocyte_ifn_alpha,1.0,0.5345,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).) AND (Pathway activity score for interferon alpha response within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
memory_cd4_treg_ifn_gamma,memory_cd4_treg_ifn_alpha,1.0,0.531,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within memory CD4 regulatory T cell (Treg) (peripheral blood).) AND (Pathway activity score for interferon alpha response within memory CD4 regulatory T cell (Treg) (peripheral blood).)
core_cd16_monocyte_ifn_gamma,core_cd16_monocyte_ifn_alpha,1.0,0.5015,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within CD16 monocyte (peripheral blood).) AND (Pathway activity score for interferon alpha response within CD16 monocyte (peripheral blood).)
cd14_cdc2_ifn_gamma,cd14_cdc2_ifn_alpha,1.0,0.5355,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within CD14 conventional dendritic cell 2 (cDC2) (peripheral blood).) AND (Pathway activity score for interferon alpha response within CD14 conventional dendritic cell 2 (cDC2) (peripheral blood).)
cm_cd8_t_cell_ifn_alpha,cm_cd8_t_cell_ifn_gamma,1.0,0.586,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within central memory CD8 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within central memory CD8 T cell (peripheral blood).)
cd8_mait_ifn_gamma,cd8_mait_ifn_alpha,1.0,0.509,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within CD8 MAIT cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within CD8 MAIT cell (peripheral blood).)
intermediate_monocyte_ifn_gamma,intermediate_monocyte_ifn_alpha,1.0,0.5035,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within intermediate monocyte (peripheral blood).) AND (Pathway activity score for interferon alpha response within intermediate monocyte (peripheral blood).)
hla_drhi_cdc2_ifn_gamma,hla_drhi_cdc2_ifn_alpha,1.0,0.5045,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within HLA-DR-high conventional dendritic cell 2 (cDC2) (peripheral blood).) AND (Pathway activity score for interferon alpha response within HLA-DR-high conventional dendritic cell 2 (cDC2) (peripheral blood).)
pdc_ifn_alpha,pdc_ifn_gamma,1.0,0.5185,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within plasmacytoid dendritic cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within plasmacytoid dendritic cell (peripheral blood).)
klrb1_memory_cd4_treg_ifn_alpha,klrb1_memory_cd4_treg_ifn_gamma,1.0,0.512,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within KLRB1+ memory CD4 regulatory T cell (Treg) (peripheral blood).) AND (Pathway activity score for interferon gamma response within KLRB1+ memory CD4 regulatory T cell (Treg) (peripheral blood).)
gzmk_vd2_gdt_ifn_alpha,gzmk_vd2_gdt_ifn_gamma,1.0,0.515,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within Granzyme K+ Vδ2 gamma-delta T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within Granzyme K+ Vδ2 gamma-delta T cell (peripheral blood).)
klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,1.0,0.52,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within KLRF1+ Granzyme B+ CD27+ effector memory CD8 T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within KLRF1+ Granzyme B+ CD27+ effector memory CD8 T cell (peripheral blood).)
isg_memory_cd4_t_cell_ifn_gamma,isg_memory_cd4_t_cell_ifn_alpha,1.0,0.5225,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within ISG-high (interferon-stimulated-gene-high) memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within ISG-high (interferon-stimulated-gene-high) memory CD4 T cell (peripheral blood).)
core_memory_b_cell_ifn_gamma,core_memory_b_cell_ifn_alpha,0.999,0.685685685685686,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within memory B cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within memory B cell (peripheral blood).)
core_cd14_monocyte_il6_jak_stat3,isg_cd14_monocyte_il6_jak_stat3,0.999,0.743743743743744,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-6/JAK/STAT3 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for IL-6/JAK/STAT3 signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
core_cd14_monocyte_il2_stat5,isg_cd14_monocyte_il2_stat5,0.999,0.817817817817818,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for IL-2/STAT5 signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
transitional_b_cell_ifn_gamma,transitional_b_cell_ifn_alpha,0.998,0.690380761523046,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within transitional B cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within transitional B cell (peripheral blood).)
core_naive_cd4_t_cell_ifn_gamma,core_naive_cd8_t_cell_ifn_gamma,0.996,0.514558232931727,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within naive CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within naive CD8 T cell (peripheral blood).)
core_cd14_monocyte_inflammatory,isg_cd14_monocyte_inflammatory,0.996,0.672690763052209,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for inflammatory response within CD14 monocyte (peripheral blood).) AND (Pathway activity score for inflammatory response within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
