from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
bc_hematocrit,bc_hemoglobin,1.0,0.516483516483517,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Oxygen-carrying protein in red blood cells (CBC).)
bc_neutrophil_count,bc_wbc,1.0,0.527472527472527,True,inconclusive,,,Feature missing from glossary -- could not build a search query.,,,,,,,,,
chem_ast,chem_alt,1.0,0.502497502497502,True,supported,0.75,no_directional_evidence,"Multiple PubMed abstracts consistently show that AST and ALT are co-regulated liver enzyme markers that rise together in response to hepatotoxic insults (morphine, thioacetamide, monk fruit sweetener, etc.), supporting a strong relationship between these entities. However, neither the INDRA database (0 directional statements) nor the PubMed abstracts provide evidence for a specific causal direction. The abstracts describe parallel elevations of both enzymes as biomarkers of liver injury, not a causal pathway from AST to ALT.","42223275, 42157520, 42242754, 42373439, 42392746",none,0.0,0.0,0.0,,,,"(Aspartate aminotransferase -- liver enzyme, liver injury marker.) AND (Alanine aminotransferase -- liver enzyme, liver injury marker.)"
lip_cholesterol_ldl,lip_cholesterol_total,1.0,0.504495504495505,True,supported,0.75,supports_proposed_direction,"The relationship between LDL cholesterol and total cholesterol is supported by biochemical understanding: total cholesterol is composed of LDL-C, HDL-C, and VLDL-C components, making LDL-C a mathematical contributor to total cholesterol. PMID 38323698 demonstrates that sd-LDL-C associations with CAC persist ""even after accounting for total LDL-C,"" indicating LDL-C is conceptually and statistically treated as a component that contributes to total cholesterol measurements. The proposed direction (LDL->Total) aligns with the compositional relationship where LDL is a constituent of the total.",38323698,none,0.0,0.0,0.0,,,,(LDL ('bad') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
l2_progenitor_cell,l1_progenitor_cell_alr,1.0,0.514485514485514,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of progenitor (stem/precursor) cell cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of progenitor (stem/precursor) cell cell among PBMCs.)
l3_asdc,l2_asdc_alr,1.0,0.503496503496504,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of AXL+/SIGLEC6+ dendritic cell (ASDC) among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of AXL+/SIGLEC6+ dendritic cell (ASDC) among PBMCs.)
l3_cd56bright_nk_cell,l2_cd56bright_nk_cell_alr,1.0,0.574425574425574,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of CD56bright NK cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of CD56bright NK cell among PBMCs.)
l3_dn_t_cell,l2_dn_t_cell_alr,1.0,0.596403596403596,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of double-negative T cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of double-negative T cell among PBMCs.)
l3_ilc,l1_ilc_alr,1.0,0.513486513486513,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of innate lymphoid cell (ILC) among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of innate lymphoid cell (ILC) among PBMCs.)
l3_proliferating_t_cell,l2_proliferating_t_cell_alr,1.0,0.689310689310689,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of proliferating T cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of proliferating T cell among PBMCs.)
pb_cd14_cdc2_ifn_gamma,pb_cd14_cdc2_ifn_alpha,1.0,0.53046953046953,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within CD14 conventional dendritic cell 2 (cDC2) (peripheral blood).) AND (Pathway activity score for interferon alpha response within CD14 conventional dendritic cell 2 (cDC2) (peripheral blood).)
pb_cd56bright_nk_cell_ifn_alpha,pb_cd56bright_nk_cell_ifn_gamma,1.0,0.514485514485514,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD56bright NK cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD56bright NK cell (peripheral blood).)
pb_cd8_mait_ifn_alpha,pb_cd8_mait_ifn_gamma,1.0,0.528471528471529,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD8 MAIT cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD8 MAIT cell (peripheral blood).)
pb_cm_cd4_t_cell_ifn_alpha,pb_cm_cd4_t_cell_ifn_gamma,1.0,0.508491508491508,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within central memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within central memory CD4 T cell (peripheral blood).)
pb_cm_cd8_t_cell_ifn_alpha,pb_cm_cd8_t_cell_ifn_gamma,1.0,0.606393606393606,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within central memory CD8 T cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within central memory CD8 T cell (peripheral blood).)
pb_core_cd14_monocyte_ifn_alpha,pb_core_cd14_monocyte_ifn_gamma,1.0,0.504495504495505,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within CD14 monocyte (peripheral blood).) AND (Pathway activity score for interferon gamma response within CD14 monocyte (peripheral blood).)
pb_core_cd14_monocyte_il2_stat5,pb_isg_cd14_monocyte_il2_stat5,1.0,0.687312687312687,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-2/STAT5 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for IL-2/STAT5 signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
pb_core_cd14_monocyte_il6_jak_stat3,pb_isg_cd14_monocyte_il6_jak_stat3,1.0,0.758741258741259,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for IL-6/JAK/STAT3 signaling within CD14 monocyte (peripheral blood).) AND (Pathway activity score for IL-6/JAK/STAT3 signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
pb_core_cd16_monocyte_ifn_gamma,pb_core_cd16_monocyte_ifn_alpha,1.0,0.507492507492508,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within CD16 monocyte (peripheral blood).) AND (Pathway activity score for interferon alpha response within CD16 monocyte (peripheral blood).)
pb_core_naive_b_cell_ifn_alpha,pb_core_naive_b_cell_ifn_gamma,1.0,0.502497502497502,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within naive B cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within naive B cell (peripheral blood).)
pb_gzmk_cd56dim_nk_cell_ifn_alpha,pb_gzmk_cd56dim_nk_cell_ifn_gamma,1.0,0.536463536463537,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within Granzyme K+ CD56dim NK cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within Granzyme K+ CD56dim NK cell (peripheral blood).)
pb_gzmk_vd2_gdt_ifn_gamma,pb_gzmk_vd2_gdt_ifn_alpha,1.0,0.517482517482518,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within Granzyme K+ Vδ2 gamma-delta T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within Granzyme K+ Vδ2 gamma-delta T cell (peripheral blood).)
pb_hla_drhi_cdc2_ifn_gamma,pb_hla_drhi_cdc2_ifn_alpha,1.0,0.543456543456543,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within HLA-DR-high conventional dendritic cell 2 (cDC2) (peripheral blood).) AND (Pathway activity score for interferon alpha response within HLA-DR-high conventional dendritic cell 2 (cDC2) (peripheral blood).)
pb_intermediate_monocyte_ifn_gamma,pb_intermediate_monocyte_ifn_alpha,1.0,0.513486513486514,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within intermediate monocyte (peripheral blood).) AND (Pathway activity score for interferon alpha response within intermediate monocyte (peripheral blood).)
pb_isg_cd14_monocyte_ifn_gamma,pb_isg_cd14_monocyte_ifn_alpha,1.0,0.511488511488512,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).) AND (Pathway activity score for interferon alpha response within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).)
pb_isg_cd14_monocyte_tnfa_nfkb,pb_core_cd14_monocyte_tnfa_nfkb,1.0,0.51048951048951,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for TNF-alpha/NF-kB signaling within ISG-high (interferon-stimulated-gene-high) CD14 monocyte (peripheral blood).) AND (Pathway activity score for TNF-alpha/NF-kB signaling within CD14 monocyte (peripheral blood).)
pb_isg_memory_cd4_t_cell_ifn_gamma,pb_isg_memory_cd4_t_cell_ifn_alpha,1.0,0.513986013986014,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within ISG-high (interferon-stimulated-gene-high) memory CD4 T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within ISG-high (interferon-stimulated-gene-high) memory CD4 T cell (peripheral blood).)
pb_klrb1_memory_cd4_treg_ifn_alpha,pb_klrb1_memory_cd4_treg_ifn_gamma,1.0,0.504495504495505,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within KLRB1+ memory CD4 regulatory T cell (Treg) (peripheral blood).) AND (Pathway activity score for interferon gamma response within KLRB1+ memory CD4 regulatory T cell (Treg) (peripheral blood).)
pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,1.0,0.526973026973027,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within KLRF1+ Granzyme B+ CD27+ effector memory CD8 T cell (peripheral blood).) AND (Pathway activity score for interferon alpha response within KLRF1+ Granzyme B+ CD27+ effector memory CD8 T cell (peripheral blood).)
pb_memory_cd4_treg_ifn_gamma,pb_memory_cd4_treg_ifn_alpha,1.0,0.514485514485514,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within memory CD4 regulatory T cell (Treg) (peripheral blood).) AND (Pathway activity score for interferon alpha response within memory CD4 regulatory T cell (Treg) (peripheral blood).)
pb_naive_cd4_treg_ifn_gamma,pb_naive_cd4_treg_ifn_alpha,1.0,0.505494505494506,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon gamma response within naive CD4 regulatory T cell (Treg) (peripheral blood).) AND (Pathway activity score for interferon alpha response within naive CD4 regulatory T cell (Treg) (peripheral blood).)
pb_pdc_ifn_alpha,pb_pdc_ifn_gamma,1.0,0.513486513486513,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Pathway activity score for interferon alpha response within plasmacytoid dendritic cell (peripheral blood).) AND (Pathway activity score for interferon gamma response within plasmacytoid dendritic cell (peripheral blood).)
