from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
age_group,GDF15,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
sex,hemoglobin,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Oxygen-carrying protein in red blood cells (CBC).)
sex,creatinine,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Biological sex (demographic covariate).) AND (Creatinine -- waste product of muscle metabolism, kidney function marker.)"
sex,LEP,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
hemoglobin,hematocrit,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Oxygen-carrying protein in red blood cells (CBC).) AND (Percent of blood volume made up of red blood cells (CBC).)
hdl,triglycerides,1.0,0.91,True,supported,0.4,no_directional_evidence,"The PubMed abstracts demonstrate a clear association between HDL cholesterol and triglycerides levels, with both studies showing correlations between these lipid parameters. However, the abstracts describe correlational relationships in the context of metabolic syndrome interventions, not directional causality. INDRA provides no forward or reverse directional statements. Without explicit mechanistic or causal evidence pointing from HDL to triglycerides (or vice versa), the evidence supports a relationship exists but does not establish the proposed direction.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
alt,ast,1.0,1.0,True,inconclusive,0.75,no_directional_evidence,"The PubMed abstracts consistently show ALT and AST as co-measured biomarkers of liver injury that change together in response to hepatotoxic stimuli, but provide no evidence that ALT causally influences AST or vice versa. Both are enzymes released from damaged hepatocytes and serve as parallel indicators of liver damage. INDRA found zero directional or undirected statements linking these entities. While a biological relationship exists (both are liver injury markers), there is no evidence supporting a causal direction from ALT to AST.","42223275, 42373439, 42242754, 42157520, 42495747",none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Aspartate aminotransferase -- liver enzyme, liver injury marker.)"
albumin,calcium,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
CXCL9,CXCL10,1.0,1.0,True,supported,0.6,conflicting,"The INDRA database strongly supports a relationship between CXCL9 and CXCL10, with 25 forward statements and 25 reverse statements, predominantly consisting of Complex formation (indicating physical association). However, the directional evidence is conflicting: forward direction shows 1 Activation, 2 IncreaseAmount, and 1 Inhibition/DecreaseAmount, while reverse direction shows similar patterns (1 Activation, 1 IncreaseAmount, 1 Inhibition, 1 DecreaseAmount). The near-equal bidirectional causal statement counts and matching statement types suggest these chemokines likely have reciprocal regulatory relationships rather than a clear unidirectional causality.",,conflicting,25.0,25.0,25.0,"10322299, 11423172, 12782716, 15265940, 18533024, 19301198, 19794961, 20585034, 20627090, 21040721, 21049277, 21307292, 21326865, 21601294, 21864623, 21873527, 22155217, 22531000, 22633082, 22800603, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32547545, 33196963, 33323542, 33365073, 33481318, 34221297, 34676126, 34685582, 36799104, 36934327, 37869162, 38686377, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21864623, 21873527, 22155217, 22531000, 22800603, 23150742, 23352833, 23382730, 23626590, 23827991, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 29374213, 30473680, 30777092, 30915067, 31843005, 32211244, 32519302, 32547545, 33359600, 33365073, 33481318, 34676126, 34685582, 34896075, 36934327, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19301198, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21601294, 21873527, 22155217, 22531000, 22633082, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26437779, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32519302, 32547545, 33196963, 33323542, 33359600, 33365073, 33481318, 34221297, 34676126, 34685582, 34896075, 36799104, 36934327, 37869162, 39956620","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (IP-10 -- interferon-induced chemokine, recruits T cells.)"
CXCL9,PDCD1,1.0,0.72,True,supported,0.4,conflicting,"INDRA provides strong evidence for a relationship between CXCL9 and PDCD1 (6 forward statements, 6 reverse statements, 8 undirected). However, the directional evidence is perfectly balanced with equal counts of forward (6) and reverse (6) statements, including matching activation and inhibition types in both directions. This symmetry provides no clear support for either the proposed CXCL9->PDCD1 direction or the reverse, yielding a conflicting directional assessment despite confirming that these proteins interact.",,conflicting,6.0,6.0,8.0,"31216458, 33003392, 35592387, 38962427","31186412, 31251403, 33003392","31186412, 31216458, 31251403, 33003392, 35592387, 38962427","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (PD-1 -- immune checkpoint receptor on T cells, dampens T cell activity.)"
