from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
hemoglobin,hematocrit,1.0,0.538,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Oxygen-carrying protein in red blood cells (CBC).) AND (Percent of blood volume made up of red blood cells (CBC).)
ast,alt,1.0,0.512,True,inconclusive,0.3,no_directional_evidence,"While all PubMed abstracts confirm that AST and ALT are co-measured liver enzymes that vary together in liver injury, none describe a causal relationship where AST directly influences ALT levels. The INDRA database contains zero directional statements in either direction. The abstracts consistently present AST and ALT as parallel biomarkers that both respond to liver pathology, not as causally connected entities. The AST/ALT ratio (De Ritis ratio) is discussed as a derived metric, but this does not establish that AST causes changes in ALT.","42520093, 42223275, 42373439, 42157520, 42242754",none,0.0,0.0,0.0,,,,"(Aspartate aminotransferase -- liver enzyme, liver injury marker.) AND (Alanine aminotransferase -- liver enzyme, liver injury marker.)"
albumin,calcium,0.995,0.586934673366834,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
VEGFA,IL7,0.991,0.538345105953582,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Vascular Endothelial Growth Factor A -- drives blood vessel formation (angiogenesis).) AND (Interleukin-7 -- cytokine required for lymphocyte development/survival.)
triglycerides,hdl,0.99,0.571212121212121,True,supported,0.65,supports_proposed_direction,"The PubMed abstracts consistently show that changes in triglyceride levels are associated with changes in HDL cholesterol, supporting a relationship between these entities. PMID 17351155 demonstrates that reducing triglycerides (via orlistat) was associated with changes in HDL-C levels. PMID 25726220 shows triglycerides and HDL cholesterol as related metabolic syndrome components. While INDRA provides no directional statements, the clinical literature pattern suggests triglycerides influence HDL (the proposed direction), as interventions targeting triglycerides tend to affect HDL levels, and hypertriglyceridemia is known to lower HDL through mechanisms like CETP activity.","17351155, 25726220",none,0.0,0.0,0.0,,,,(Triglycerides -- blood fat level (lipid panel).) AND (HDL ('good') cholesterol (lipid panel).)
CXCL9,CXCL10,0.986,0.552738336713996,True,supported,0.6,conflicting,"The INDRA database provides strong evidence for a relationship between CXCL9 and CXCL10, with 25 forward statements and 25 reverse statements, predominantly involving complex formation (40+ statements). However, the nearly equal counts of forward and reverse directional statements (including Activation, Inhibition, IncreaseAmount, and DecreaseAmount) indicate conflicting directional evidence. The high prevalence of complex formation suggests these chemokines interact closely, but this does not support a specific causal direction.",,conflicting,25.0,25.0,25.0,"10322299, 11423172, 12782716, 15265940, 18533024, 19301198, 19794961, 20585034, 20627090, 21040721, 21049277, 21307292, 21326865, 21601294, 21864623, 21873527, 22155217, 22531000, 22633082, 22800603, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32547545, 33196963, 33323542, 33365073, 33481318, 34221297, 34676126, 34685582, 36799104, 36934327, 37869162, 38686377, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21864623, 21873527, 22155217, 22531000, 22800603, 23150742, 23352833, 23382730, 23626590, 23827991, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 29374213, 30473680, 30777092, 30915067, 31843005, 32211244, 32519302, 32547545, 33359600, 33365073, 33481318, 34676126, 34685582, 34896075, 36934327, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19301198, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21601294, 21873527, 22155217, 22531000, 22633082, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26437779, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32519302, 32547545, 33196963, 33323542, 33359600, 33365073, 33481318, 34221297, 34676126, 34685582, 34896075, 36799104, 36934327, 37869162, 39956620","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (IP-10 -- interferon-induced chemokine, recruits T cells.)"
age_group,GDF15,0.979,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
TNFRSF1B,HAVCR2,0.965,0.586528497409326,True,supported,0.65,supports_proposed_direction,"INDRA provides one forward directional statement (Activation) from TNFRSF1B to HAVCR2 with no reverse directional statements, supporting the proposed direction. However, confidence is moderate due to the single INDRA source, absence of PubMed abstracts for additional context, and one undirected statement that confirms a relationship but doesn't add directional information.",,forward,1.0,0.0,1.0,39543125,,39543125,"(TNF Receptor 2 (TNF-R2) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
sex,LEP,0.964,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
GZMA,LAG3,0.939,0.649627263045793,True,supported,0.4,conflicting,"INDRA statements confirm a relationship exists between GZMA and LAG3 (Complex formation in both directions, plus DecreaseAmount). However, the directional evidence is conflicting: 1 forward statement (Complex) vs 2 reverse statements (DecreaseAmount and Complex), with INDRA itself flagging ""conflicting"" direction. No PubMed abstracts were retrieved to provide additional context or support for either direction.",,conflicting,1.0,2.0,2.0,30059832,"30059832, 35821635","30059832, 35821635","(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (LAG-3 -- immune checkpoint receptor, dampens T cell activity.)"
