from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
hemoglobin,hematocrit,1.0,0.53,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Oxygen-carrying protein in red blood cells (CBC).) AND (Percent of blood volume made up of red blood cells (CBC).)
ast,alt,1.0,0.5125,True,inconclusive,0.3,no_directional_evidence,"All PubMed abstracts describe AST and ALT as co-occurring liver enzyme markers that are measured together and change in parallel during hepatotoxicity, but none establish a causal relationship where AST influences ALT levels. The INDRA database contains zero directional statements in either direction. AST and ALT are both aminotransferases released from damaged hepatocytes - they are parallel indicators of liver injury rather than having a causal relationship with each other.","42223275, 42373439, 42157520, 42242754, 42495747",none,0.0,0.0,0.0,,,,"(Aspartate aminotransferase -- liver enzyme, liver injury marker.) AND (Alanine aminotransferase -- liver enzyme, liver injury marker.)"
total_chol,ldl,1.0,0.501,True,supported,0.75,supports_proposed_direction,"The PubMed abstract (PMID 38323698) demonstrates that total LDL-C is measured and used as a covariate when assessing sd-LDL-C, indicating that LDL is a component/subset derived from total cholesterol measurements. While INDRA provides no directional statements, the proposed direction aligns with the biochemical reality that total cholesterol is measured first and LDL cholesterol is either calculated or measured as a component of it. The abstract's adjustment ""for estimated total LDL-C"" supports that total cholesterol contributes to LDL values, not the reverse.",38323698,none,0.0,0.0,0.0,,,,(Total cholesterol (lipid panel).) AND (LDL ('bad') cholesterol (lipid panel).)
hematocrit,rbc,0.994,0.758551307847082,True,supported,0.85,supports_proposed_direction,"The relationship between hematocrit and RBC is strongly supported by the literature. Hematocrit is definitionally the percent of blood volume made up of red blood cells, making it a derived measurement that depends on RBC count and volume. PMID 30866659 explicitly shows how changes in hematocrit are linked to changes in erythrocytes (RBCs), with correlations between smoking effects on both. The proposed direction (hematocrit -> RBC) is supported by the fact that hematocrit is a composite measure calculated from RBC parameters, making it the appropriate independent variable in a Bayesian network structure.",30866659,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Red blood cell count (CBC).)
mpv,platelets,0.991,0.588294651866801,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Mean platelet volume -- average size of platelets (CBC).) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
CXCL9,CXCL10,0.987,0.547112462006079,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (IP-10 -- interferon-induced chemokine, recruits T cells.)"
VEGFA,IL7,0.985,0.582741116751269,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Vascular Endothelial Growth Factor A -- drives blood vessel formation (angiogenesis).) AND (Interleukin-7 -- cytokine required for lymphocyte development/survival.)
sex,LEP,0.981,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
weight,LEP,0.977,0.95957011258956,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Body weight (anthropometric covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
albumin,calcium,0.974,0.605749486652977,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
hdl,triglycerides,0.973,0.506680369989723,True,supported,0.4,no_directional_evidence,"The PubMed abstracts confirm that HDL and triglycerides are related metabolic components that vary together (both studies show they are components of metabolic syndrome and change in response to interventions). However, neither abstract establishes a directional causal relationship - they report correlations and co-variations rather than stating that HDL levels drive or cause changes in triglycerides. INDRA found zero directional statements in either direction, providing no evidence to support the proposed ""hdl"" -> ""triglycerides"" direction over the reverse.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
globulin,protein,0.96,0.641666666666667,True,supported,0.85,supports_proposed_direction,"Both PubMed abstracts clearly describe globulin as a calculated measure derived from total protein minus albumin (CG = TP - albumin). This mathematical relationship establishes that total protein is a prerequisite component for calculating globulin, supporting the proposed direction where globulin depends on protein. While INDRA found no directional statements, the definitional relationship in the literature strongly supports globulin being derived from protein measurements.","39507534, 37166344",none,0.0,0.0,0.0,,,,(Globulin -- blood proteins including antibodies (often total protein minus albumin).) AND (Total serum protein.)
rdw,rbc,0.958,0.794363256784969,True,supported,0.65,no_directional_evidence,"The literature strongly supports a relationship between RDW and RBC, as multiple studies document correlations between these hematological parameters (e.g., PMID 41546586 reports r=-0.525 between RDW and RBC count). However, none of the abstracts or INDRA statements provide evidence for a causal direction. The relationship appears to be primarily correlational, reflecting the mathematical and physiological interdependence of CBC parameters rather than RDW causing changes in RBC count or vice versa.","41914988, 41436979, 42131666, 41576603, 41546586",none,0.0,0.0,0.0,,,,(Red cell distribution width -- variability in red blood cell size (CBC).) AND (Red blood cell count (CBC).)
hdl,total_chol,0.957,0.694879832810867,True,supported,0.4,no_directional_evidence,"The literature clearly supports a relationship between HDL cholesterol and total cholesterol as components of the lipid panel, with multiple studies showing correlations between lipid parameters (PMIDs 37092196, 31531722, 17351155, 20112843). However, there is no evidence supporting the proposed direction ""hdl"" -> ""total_chol"". INDRA found zero directional statements in either direction. The PubMed abstracts describe correlations and co-variation of lipid parameters but do not establish HDL as causing changes in total cholesterol; rather, they typically discuss both as outcome measures that change together in response to interventions or disease states.","37092196, 31531722, 17351155, 20112843",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
age_group,GDF15,0.953,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
TNFRSF1B,HAVCR2,0.937,0.552828175026681,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(TNF Receptor 2 (TNF-R2) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
albumin,protein,0.916,0.707423580786026,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Total serum protein.)"
GZMA,LAG3,0.909,0.625962596259626,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (LAG-3 -- immune checkpoint receptor, dampens T cell activity.)"
weight,hdl,0.908,0.595814977973568,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Body weight (anthropometric covariate).) AND (HDL ('good') cholesterol (lipid panel).)
co2,chloride,0.891,0.623456790123457,True,inconclusive,0.3,no_directional_evidence,The PubMed abstract (PMID 23528507) describes co-occurrence patterns of serum CO2 and chloride levels in hypertrophic pyloric stenosis patients but does not establish a causal or directional relationship between these variables. INDRA found zero statements in either direction. The observed correlation in the clinical context appears to reflect simultaneous derangements from a common underlying pathophysiology (vomiting/acid-base disturbance) rather than a direct causal relationship from CO2 to chloride.,23528507,none,0.0,0.0,0.0,,,,(Serum bicarbonate/CO2 -- acid-base status.) AND (Serum chloride (electrolyte).)
TNFRSF1A,HAVCR2,0.886,0.522009029345373,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(TNF Receptor 1 (TNF-R1) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
