from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
VEGFA,IL7,0.995,0.533165829145729,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Vascular Endothelial Growth Factor A -- drives blood vessel formation (angiogenesis).) AND (Interleukin-7 -- cytokine required for lymphocyte development/survival.)
age_group,GDF15,0.991,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
sex,LEP,0.991,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
CXCL9,CXCL10,0.99,0.523737373737374,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (IP-10 -- interferon-induced chemokine, recruits T cells.)"
TNFRSF1B,HAVCR2,0.983,0.609867751780264,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(TNF Receptor 2 (TNF-R2) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
GZMA,LAG3,0.958,0.660229645093946,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (LAG-3 -- immune checkpoint receptor, dampens T cell activity.)"
LEP,IL1RN,0.947,0.577613516367476,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Leptin -- hormone from fat tissue that regulates appetite/energy balance.) AND (Interleukin-1 Receptor Antagonist -- dampens IL-1 inflammatory signaling.)
TNFRSF1B,TNFRSF1A,0.936,0.541666666666667,True,inconclusive,0.3,no_directional_evidence,"The PubMed abstracts describe TNF-R1 (TNFRSF1A) and TNF-R2 (TNFRSF1B) as two distinct receptors for TNF-alpha that mediate different signaling pathways and can cross-talk via shared adaptor proteins like TRAF2. However, none of the abstracts provide evidence that TNFRSF1B directly regulates or causally influences TNFRSF1A expression or activity. INDRA found zero forward, reverse, or undirected statements, providing no directional signal. The literature supports that these receptors interact functionally in TNF signaling networks but does not establish a causal relationship in either direction.","26993379, 18825372, 20704259, 20194223, 21668898",none,0.0,0.0,0.0,,,,(TNF Receptor 2 (TNF-R2) -- receptor mediating TNF signaling.) AND (TNF Receptor 1 (TNF-R1) -- receptor mediating TNF signaling.)
GZMA,CD8A,0.925,0.705405405405405,True,supported,0.6,no_directional_evidence,"INDRA reports 3 complex formation statements in both forward and reverse directions, indicating a physical association between GZMA and CD8A exists. However, complex formation is inherently undirected and provides no evidence for causal directionality. No PubMed abstracts were retrieved to provide additional directional context, so while a relationship is supported, the proposed direction GZMA -> CD8A cannot be distinguished from the reverse.",,conflicting,3.0,3.0,3.0,"28718425, 29800567, 30179225","28718425, 29800567, 30179225","28718425, 29800567, 30179225",(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (CD8-alpha -- surface marker defining cytotoxic T cells.)
CXCL10,CXCL11,0.924,0.765692640692641,True,supported,0.7,conflicting,"The INDRA database provides strong evidence for a relationship between CXCL10 and CXCL11, with 25 forward statements and 25 reverse statements. However, the majority of statements in both directions are ""Complex"" type (23 forward, 22 reverse), which indicates physical association rather than clear directional causality. The presence of equal numbers of forward and reverse statements, combined with nearly symmetric statement types (1 Activation and 1 Inhibition each direction), indicates the literature supports a relationship but does not favor either direction over the other.",,conflicting,25.0,25.0,25.0,"11423172, 12782716, 18533024, 21196205, 21307292, 21326865, 21864623, 22233170, 22343319, 22531000, 23483225, 23626590, 24205388, 24940911, 24992040, 25324719, 25498524, 25907241, 26129991, 26216123, 26270565, 26489007, 26663990, 27412416, 27917296, 28575534, 28821016, 29218043, 29288898, 30473680, 30777092, 31780824, 31843005, 32211244, 32547545, 33481318, 34685582, 34896075, 35349874, 38698849","11423172, 12782716, 12787142, 18060089, 18533024, 21196205, 21307292, 21326865, 21864623, 22004287, 22233170, 22343319, 22531000, 23483225, 23626590, 24205388, 24940911, 24992040, 25324719, 25498524, 25907241, 26129991, 26216123, 26270565, 26344576, 26489007, 26663990, 27412416, 27917296, 28821016, 29218043, 29288898, 30473680, 30777092, 31780824, 31843005, 32211244, 32547545, 33481318, 34685582, 35087741, 35349874, 38686450","11423172, 12782716, 12787142, 18060089, 18533024, 21307292, 21326865, 21864623, 22004287, 22233170, 22343319, 22531000, 23483225, 23626590, 24205388, 24940911, 24992040, 25324719, 25498524, 25907241, 26216123, 26270565, 26344576, 26489007, 26663990, 27412416, 27917296, 28821016, 29218043, 29288898, 30473680, 30777092, 31780824, 31843005, 32211244, 32547545, 33481318, 34685582, 34896075, 35087741, 35349874, 38686450, 38698849","(IP-10 -- interferon-induced chemokine, recruits T cells.) AND (I-TAC -- interferon-induced chemokine, recruits T cells.)"
